id,difficulty,category,question,ideal_answer,question_type,image_path,excel_template,time_limit
QEX1,Basic,Formulas,"What is the SUM function used for in Excel?","The SUM function is used to add up values in a range of cells. Syntax: =SUM(range) or =SUM(cell1,cell2,...)","text","","",120
QEX2,Basic,Navigation,"How do you select an entire column in Excel?","Click on the column header (letter) to select the entire column, or use Ctrl+Space after selecting any cell in the column","text","","",90
QEX3,Basic,Formatting,"How do you apply bold formatting to a cell?","Select the cell and press Ctrl+B, or use the Bold button in the Home ribbon, or right-click and choose Format Cells","text","","",90
QEX4,Intermediate,Formulas,"Explain the difference between SUMIF and SUMIFS functions","SUMIF adds cells based on one condition: =SUMIF(range,criteria,sum_range). SUMIFS adds cells based on multiple conditions: =SUMIFS(sum_range,criteria_range1,criteria1,criteria_range2,criteria2,...)","text","","",180
QEX5,Intermediate,Lookup,"What is VLOOKUP and when would you use it?","VLOOKUP searches for a value in the first column of a table and returns a corresponding value from another column. Syntax: =VLOOKUP(lookup_value,table_array,col_index_num,[range_lookup]). Used for data retrieval and matching.","text","","",180
QEX6,Advanced,Pivot,"How do you create a Pivot Table and what are its main components?","Insert > PivotTable. Main components: 1) Row Labels (categories), 2) Column Labels (subcategories), 3) Values (data to summarize), 4) Filters (criteria to filter data)","text","","",240
QEX7,Basic,Shortcuts,"Which shortcut key combination copies the selected cells?","Ctrl+C copies selected cells. You can then paste with Ctrl+V","text","","",60
QEX8,Intermediate,Charts,"Which type of chart would best represent this data to highlight both the trend over time and the relative differences between quarters?","Line chart with markers. It clearly shows the trend over time and highlights quarter-to-quarter revenue differences.","text","","",300
QEX9,Advanced,Formulas,"Explain the logical steps and underlying mathematical principles required to calculate a monthly sales commission where 5% is applied only to the portion of exceeding $10,000.","Use a conditional check to determine if sales exceed $10,000, then multiply the excess by 5%, otherwise assign zero.","text","","",300
QEX10,Advanced,Analysis,"Why a pivot table is the preferred method, and how calculated fields could reveal deeper insights.","This layout (like a pivot table) enables easy comparison across regions and categories, and calculated fields can highlight additional patterns or profitability metrics.","text","","",300
QEX11,Basic,Functions,"What does the AVERAGE function do?","AVERAGE calculates the arithmetic mean of a range of numbers. Syntax: =AVERAGE(range)","text","","",120
QEX12,Intermediate,Conditional,"Explain the IF function with an example","IF function performs logical tests. Syntax: =IF(logical_test,value_if_true,value_if_false). Example: =IF(A1>50,'Pass','Fail')","text","","",180
QEX13,Advanced,Array,"What are array formulas and how do you enter them?","Array formulas perform calculations on arrays of data. Enter with Ctrl+Shift+Enter (shows curly braces {}). Can calculate multiple results or use multiple criteria.","text","","",240
QEX14,Intermediate,Lookup,"Compare INDEX-MATCH vs VLOOKUP","INDEX-MATCH: More flexible, can look left/right, faster for large data, syntax: =INDEX(return_range,MATCH(lookup_value,lookup_range,0)). VLOOKUP: Simpler syntax, only looks right, limited to leftmost column.","text","","",240
QEX15,Advanced,Automation,"What is a macro and how do you create one?","Macro is recorded sequence of commands. Create via: Developer tab > Record Macro > perform actions > Stop Recording. Can also write VBA code directly.","text","","",300
QEX16,Basic,Data,"How do you sort data in Excel?","Select data range > Data tab > Sort. Choose sort column and order (A-Z or Z-A). For multiple criteria, click 'Add Level'","text","","",150
QEX17,Intermediate,Validation,"Why is it important to implement rules that limit the type of information entered into specific data fields, such as restricting a Role field in an employee database to only a few predefined options?","Limiting entries in critical fields, like a Role field, ensures that only expected and consistent information is entered, which reduces errors and makes data analysis more reliable. Such controls help prevent typos, unauthorized values, and inconsistencies across records.","text","","",300
QEX18,Advanced,Financial,"A business is considering a new project and wants to determine its financial viability using the Net Present Value (NPV) method with a 10% discount rate. Describe the theoretical steps and reasoning needed to manually calculate the NPV for this project.","To calculate NPV, discount each future cash flow by dividing it by (1 + 0.10) raised to the period number, then sum these values and subtract the initial investment.This reflects the time value of money and helps determine if the project adds financial value.","text","","",300
QEX19,Intermediate,Text,"How do you combine text from two cells?","Use CONCATENATE function: =CONCATENATE(A1,B1) or ampersand: =A1&B1. In newer Excel, use CONCAT or TEXTJOIN functions.","text","","",150
QEX20,Advanced,Dashboard,"Why is using a consistent color scheme important in dashboard design, and how does it affect user interpretation?","A consistent color scheme enhances readability and ensures visual cohesiveness, making key data easier to identify. It prevents confusion and supports faster, more accurate decision-making by guiding user attention effectively.","text","","",300
QEX21,Basic,Errors,"What does #DIV/0! error mean and how to fix it?","Division by zero error. Fix by: 1) Check denominator isn't zero, 2) Use IFERROR: =IFERROR(formula,'Error message'), 3) Add IF condition to check for zero","text","","",120
QEX22,Intermediate,Protection,"How do you protect specific cells while allowing others to be edited?","1) Select cells to protect > Format Cells > Protection > Locked, 2) Select editable cells > uncheck Locked, 3) Review tab > Protect Sheet","text","","",180
QEX23,Advanced,Power,"What is Power Query and when would you use it?","Power Query is data connection/transformation tool. Use for: importing from multiple sources, cleaning data, combining tables, automating data refresh. Access via Data tab > Get Data.","text","","",240
QEX24,Advanced,Simulation,"What is the primary purpose of running multiple iterations in a Monte Carlo simulation, and how does it improve the reliability of the results?","Multiple iterations capture a wide range of possible outcomes by sampling random variables repeatedly, reflecting real-world uncertainty. This repetition allows for more accurate estimation of the probability distribution of results, improving decision-making confidence.","text","","",300
QEX25,Expert,Complex,"What are the key features that make a dashboard dynamic and automatically update with new data entries?","Key features include auto-expanding data ranges, dynamic formulas that adjust to data changes, and interactive elements like slicers for real-time filtering. These ensure the dashboard reflects the latest data instantly without manual updates, enhancing accuracy and usability.","text","","",300
